dex,name,types,englishCategory,habitat,englishDex,hp,attack,defense,spAttack,spDefense,speed,sourceAbilities,evolution,sourceInspiration,artOrigin,referenceStatus,editableFolder,frontSprite,backSprite,icon,normalPalette,shinyPalette,productionProfile
1,Caramelo,fire,Stray,Arauna Outskirts,"A caramel-coated street pup. When it trusts a Trainer, its tail lights a small, steady flame that never burns a friendly hand.",55,58,45,55,50,62,Chama | Faro Fiel,#002 (Level 17),Cachorro caramelo brasileiro,hand-prepared-approved,available,001_caramelo,001_caramelo/anim_front.png,001_caramelo/back.png,001_caramelo/icon.png,001_caramelo/normal.pal,001_caramelo/shiny.pal,001_caramelo/candidate_profile.json
2,Caramelão,fire,Guardian,Arauna Outskirts,It guards open-air markets. The embers across its back move like fleas and bite only those who try to steal.,70,78,62,72,65,78,Chama | Intimidação,#003 (Level 36),Cachorro caramelo adulto,hand-prepared-approved,available,002_caramelao,002_caramelao/anim_front.png,002_caramelao/back.png,002_caramelao/icon.png,002_caramelao/normal.pal,002_caramelao/shiny.pal,002_caramelao/candidate_profile.json
3,Draguará,fire/dragon,Dragon-Dog,Arauna Highlands,Legends say every caramel dog that saves a life is reborn as Draguará. Its turquoise flames warm but never harm the innocent.,92,118,85,108,92,100,Chama | Escama Dracônica,,Cachorro caramelo + jaguar + dragão oriental,hand-prepared-approved,available,003_draguara,003_draguara/anim_front.png,003_draguara/back.png,003_draguara/icon.png,003_draguara/normal.pal,003_draguara/shiny.pal,003_draguara/candidate_profile.json
4,Querô,water,Sentinel,Arauna Pampas,"It never fully sleeps. One eye watches its nest, and its quero-quero cry can echo for miles when danger approaches.",50,52,55,60,58,65,Torrente | Alerta,#005 (Level 17),Quero-quero (Vanellus chilensis),hand-prepared-approved,available,004_quero,004_quero/anim_front.png,004_quero/back.png,004_quero/icon.png,004_quero/normal.pal,004_quero/shiny.pal,004_quero/candidate_profile.json
5,Queribela,water/bug,Watchman,Arauna Wetlands,"After its first molt, its feathers become iridescent dragonfly membranes. It hovers above water and hunts with exact precision.",66,70,66,78,72,82,Torrente | Olho Composto,#006 (Level 36),Quero-quero jovem + libélula,hand-prepared-approved,available,005_queribela,005_queribela/anim_front.png,005_queribela/back.png,005_queribela/icon.png,005_queribela/normal.pal,005_queribela/shiny.pal,005_queribela/candidate_profile.json
6,Terolibra,water/bug,Sentinel,Arauna Wetlands,Four dragonfly wings support its slender lapwing body. A single wingbeat can launch a stream strong enough to split a trunk.,82,95,88,118,95,117,Torrente | Enxame,,Quero-quero adulto + libélula gigante,hand-prepared-approved,available,006_terolibra,006_terolibra/anim_front.png,006_terolibra/back.png,006_terolibra/icon.png,006_terolibra/normal.pal,006_terolibra/shiny.pal,006_terolibra/candidate_profile.json
7,Pimpau,grass,Hammer-Beak,Arauna Cerrado,"Its soft beak drills bark for larvae. It trains by hammering dry stumps all day, then returns to its nest with a headache.",52,60,50,55,52,63,Espessura | Ritmo,#008 (Level 17),Pica-pau-do-campo (Colaptes campestris),hand-prepared-approved,available,007_pimpau,007_pimpau/anim_front.png,007_pimpau/back.png,007_pimpau/icon.png,007_pimpau/normal.pal,007_pimpau/shiny.pal,007_pimpau/candidate_profile.json
8,Bicopau,grass,Hammer-Beak,Arauna Cerrado,Its beak hardens like ironwood. It drums complex rhythms on trees that other Bicopau understand as messages.,68,82,65,70,65,82,Espessura | Determinação,#009 (Level 36),Pica-pau adulto,hand-prepared-approved,available,008_bicopau,008_bicopau/anim_front.png,008_bicopau/back.png,008_bicopau/icon.png,008_bicopau/normal.pal,008_bicopau/shiny.pal,008_bicopau/candidate_profile.json
9,Petropico,grass/rock,Sculptor,Arauna Plateaus,Its beak calcified into a granite wedge. It carves caves into stone cliffs with blows that ring like bells.,88,118,108,78,82,100,Espessura | Corpo Rochoso,,Pica-pau mítico com bico de granito,hand-prepared-approved,available,009_petropico,009_petropico/anim_front.png,009_petropico/back.png,009_petropico/icon.png,009_petropico/normal.pal,009_petropico/shiny.pal,009_petropico/candidate_profile.json
10,Formilim,bug,Anthill,Arauna Cerrado,"It is not a single ant, but an entire colony walking in the shape of a giant one. The colony scatters when threatened.",40,45,38,30,35,60,Enxame,#011 (Level 15),Saúva,reference-front-plus-reconstructed-back,available,010_formilim,010_formilim/anim_front.png,010_formilim/back.png,010_formilim/icon.png,010_formilim/normal.pal,010_formilim/shiny.pal,010_formilim/candidate_profile.json
11,Saúvarco,bug/ground,Queen,Arauna Cerrado,The queen of the leaf-cutter ants. It commands armies able to strip every leaf from a tree in one night.,78,92,85,60,70,88,Enxame | Escavador,,Rainha das saúvas,reference-front-plus-reconstructed-back,available,011_sauvarco,011_sauvarco/anim_front.png,011_sauvarco/back.png,011_sauvarco/icon.png,011_sauvarco/normal.pal,011_sauvarco/shiny.pal,011_sauvarco/candidate_profile.json
12,Capivim,water/normal,Lazy,Arauna Rivers,"It lives in riverside groups and lets any friendly POKéMON rest on its back, including tired Trainers.",90,55,70,40,65,40,Corpo Molhado | Placidez,,Capivara,reference-front-plus-reconstructed-back,available,012_capivim,012_capivim/anim_front.png,012_capivim/back.png,012_capivim/icon.png,012_capivim/normal.pal,012_capivim/shiny.pal,012_capivim/candidate_profile.json
13,Tucanhão,flying/grass,Fruit-Bearer,Arauna Atlantic Forest,"Its huge beak is hollow and light. It swallows fruit whole and spits seeds far away, planting forests on its own.",65,72,55,85,70,90,Vista Aguçada | Colheita,,Tucano-toco,reference-front-plus-reconstructed-back,available,013_tucanhao,013_tucanhao/anim_front.png,013_tucanhao/back.png,013_tucanhao/icon.png,013_tucanhao/normal.pal,013_tucanhao/shiny.pal,013_tucanhao/candidate_profile.json
14,Sagüim,normal,Prankster,Arauna Atlantic Forest,It steals anything that shines. Trainers quickly learn to keep their Gym Badges at the bottom of their bags.,45,40,40,55,50,78,Fura-mão | Corredor,#015 (Level 22),Sagui-de-tufo-branco,reference-front-plus-reconstructed-back,available,014_saguim,014_saguim/anim_front.png,014_saguim/back.png,014_saguim/icon.png,014_saguim/normal.pal,014_saguim/shiny.pal,014_saguim/candidate_profile.json
15,Micuiras,normal/psychic,Shaman,Arauna Atlantic Forest,The elder of the Sagüim troop. It reads the future in river reflections and can predict rain a week ahead.,68,55,60,105,92,88,Sincronia | Presságio,,Sagui ancião,reference-front-plus-reconstructed-back,available,015_micuiras,015_micuiras/anim_front.png,015_micuiras/back.png,015_micuiras/icon.png,015_micuiras/normal.pal,015_micuiras/shiny.pal,015_micuiras/candidate_profile.json
16,Boitatá,fire/ghost,Fire-Snake,Arauna Burned Fields,It appears after wildfires. Its body is a blue flame-serpent that hunts those who deliberately burn the forest.,70,88,55,118,78,105,Corpo Flamejante | Levitação,,Boitatá (folclore),reference-front-plus-reconstructed-back,available,016_boitata,016_boitata/anim_front.png,016_boitata/back.png,016_boitata/icon.png,016_boitata/normal.pal,016_boitata/shiny.pal,016_boitata/candidate_profile.json
17,Curupim,grass/fairy,Guardian,Arauna Atlantic Forest,Its feet point backward. The tracks it leaves confuse hunters and guide them deeper into the forest.,60,65,68,78,82,92,Véu Vegetal | Brincalhão,#018 (Level 34),Curupira (folclore),reference-front-plus-reconstructed-back,available,017_curupim,017_curupim/anim_front.png,017_curupim/back.png,017_curupim/icon.png,017_curupim/normal.pal,017_curupim/shiny.pal,017_curupim/candidate_profile.json
18,Curupira,grass/fairy,Guardian,Arauna Atlantic Forest,"The true lord of the forest. Wherever it steps, a century-old tree can rise in a single night.",85,92,90,108,110,118,Véu Vegetal | Alma Antiga,,Curupira adulto,reference-front-plus-reconstructed-back,available,018_curupira,018_curupira/anim_front.png,018_curupira/back.png,018_curupira/icon.png,018_curupira/normal.pal,018_curupira/shiny.pal,018_curupira/candidate_profile.json
19,Iaraço,water/fairy,Mermaid,Arauna Solimoes River,Its song enchants fishers. Those who follow it into the river are said to join its court forever.,88,62,80,118,118,82,Encanto | Corpo Molhado,,Iara (folclore),reference-front-plus-reconstructed-back,available,019_iaraco,019_iaraco/anim_front.png,019_iaraco/back.png,019_iaraco/icon.png,019_iaraco/normal.pal,019_iaraco/shiny.pal,019_iaraco/candidate_profile.json
20,Sacizinho,dark/flying,Prankster,Arauna Cerrado,It has only one leg and rides inside whirlwinds. It loves putting out campfires and teasing careless Trainers.,60,78,55,85,65,118,Vento Veloz | Travessura,,Saci-Pererê (folclore),reference-front-plus-reconstructed-back,available,020_sacizinho,020_sacizinho/anim_front.png,020_sacizinho/back.png,020_sacizinho/icon.png,020_sacizinho/normal.pal,020_sacizinho/shiny.pal,020_sacizinho/candidate_profile.json
21,Cactula,grass/poison,Cactus,Arauna Caatinga,"Cactula lives in Arauna Caatinga. This Grass/Poison POKéMON embodies a part of Brazil's nature, folklore, or culture.",62,68,82,70,65,35,Corpo Seco | Ponto Cego,,Mandacaru,reference-front-plus-reconstructed-back,available,021_cactula,021_cactula/anim_front.png,021_cactula/back.png,021_cactula/icon.png,021_cactula/normal.pal,021_cactula/shiny.pal,021_cactula/candidate_profile.json
22,Muriçoco,bug/poison,Stinger,Arauna Amazon,"Muriçoco, the Stinger POKéMON, inhabits Arauna Amazon. Its Bug/Poison nature reflects Brazil's wildlife and legends.",35,55,30,45,30,92,Enxame | Ponto Cego,,Muriçoca (mosquito amazônico),reference-front-plus-reconstructed-back,available,022_muricoco,022_muricoco/anim_front.png,022_muricoco/back.png,022_muricoco/icon.png,022_muricoco/normal.pal,022_muricoco/shiny.pal,022_muricoco/candidate_profile.json
23,Onçaléu,dark,Hunter,Arauna Pantanal,"Found in Arauna Pantanal, Onçaléu is known as the Hunter POKéMON. It carries a distinct Dark affinity.",82,118,78,60,78,108,Intimidação | Rasgo Rápido,,Onça-pintada,reference-front-plus-reconstructed-back,available,023_oncaleu,023_oncaleu/anim_front.png,023_oncaleu/back.png,023_oncaleu/icon.png,023_oncaleu/normal.pal,023_oncaleu/shiny.pal,023_oncaleu/candidate_profile.json
24,Tamanduá,ground/steel,Anteater,Arauna Cerrado,"Tamanduá lives in Arauna Cerrado. This Ground/Steel POKéMON embodies a part of Brazil's nature, folklore, or culture.",92,108,92,45,78,55,Escavador | Garra Dura,,Tamanduá-bandeira,reference-front-plus-reconstructed-back,available,024_tamandua,024_tamandua/anim_front.png,024_tamandua/back.png,024_tamandua/icon.png,024_tamandua/normal.pal,024_tamandua/shiny.pal,024_tamandua/candidate_profile.json
25,Botim,water,RiverDolphin,Arauna Amazon River,"Botim, the RiverDolphin POKéMON, inhabits Arauna Amazon River. Its Water nature reflects Brazil's wildlife and legends.",41,54,43,45,45,55,Torrente | Corpo Molhado,#026 (Level 22),Boto-cor-de-rosa filhote,reference-front-plus-reconstructed-back,available,025_botim,025_botim/anim_front.png,025_botim/back.png,025_botim/icon.png,025_botim/normal.pal,025_botim/shiny.pal,025_botim/candidate_profile.json
26,Botão,water/psychic,RiverDolphin,Arauna Amazon River,"Found in Arauna Amazon River, Botão is known as the RiverDolphin POKéMON. It carries a distinct Water/Psychic affinity.",65,72,65,65,65,72,Torrente | Corpo Molhado,#027 (Level 30),Boto adolescente,reference-front-plus-reconstructed-back,available,026_botao,026_botao/anim_front.png,026_botao/back.png,026_botao/icon.png,026_botao/normal.pal,026_botao/shiny.pal,026_botao/candidate_profile.json
27,Botogaláu,water/psychic,Enchanted,Arauna Amazon River,"Botogaláu lives in Arauna Amazon River. This Water/Psychic POKéMON embodies a part of Brazil's nature, folklore, or culture.",89,96,90,95,90,95,Torrente | Corpo Molhado,,Boto encantado,reference-front-plus-reconstructed-back,available,027_botogalau,027_botogalau/anim_front.png,027_botogalau/back.png,027_botogalau/icon.png,027_botogalau/normal.pal,027_botogalau/shiny.pal,027_botogalau/candidate_profile.json
28,Tatuim,ground,Rolling,Arauna Caatinga,"Tatuim, the Rolling POKéMON, inhabits Arauna Caatinga. Its Ground nature reflects Brazil's wildlife and legends.",42,53,43,45,45,55,Escavador | Nuvem de Areia,#029 (Level 36),Tatu-bola juvenil,reference-front-plus-reconstructed-back,available,028_tatuim,028_tatuim/anim_front.png,028_tatuim/back.png,028_tatuim/icon.png,028_tatuim/normal.pal,028_tatuim/shiny.pal,028_tatuim/candidate_profile.json
29,Tatubola,ground/steel,Fortress,Arauna Caatinga,"Found in Arauna Caatinga, Tatubola is known as the Fortress POKéMON. It carries a distinct Ground/Steel affinity.",66,71,65,65,65,72,Escavador | Nuvem de Areia,#030 (Level 40),Tatu-bola adulto,reference-front-plus-reconstructed-back,available,029_tatubola,029_tatubola/anim_front.png,029_tatubola/back.png,029_tatubola/icon.png,029_tatubola/normal.pal,029_tatubola/shiny.pal,029_tatubola/candidate_profile.json
30,Tatuçu,ground/steel,Burrower,Arauna Caatinga,"Tatuçu lives in Arauna Caatinga. This Ground/Steel POKéMON embodies a part of Brazil's nature, folklore, or culture.",90,95,90,95,90,95,Escavador | Nuvem de Areia,,Tatu-canastra gigante,reference-front-plus-reconstructed-back,available,030_tatucu,030_tatucu/anim_front.png,030_tatucu/back.png,030_tatucu/icon.png,030_tatucu/normal.pal,030_tatucu/shiny.pal,030_tatucu/candidate_profile.json
31,Ararinha,flying,Parrot,Arauna Pantanal,"Ararinha, the Parrot POKéMON, inhabits Arauna Pantanal. Its Flying nature reflects Brazil's wildlife and legends.",43,52,44,45,45,55,Vista Aguçada | Vento Veloz,#032 (Level 22),Filhote de arara-azul,reference-front-plus-reconstructed-back,available,031_ararinha,031_ararinha/anim_front.png,031_ararinha/back.png,031_ararinha/icon.png,031_ararinha/normal.pal,031_ararinha/shiny.pal,031_ararinha/candidate_profile.json
32,Arará,flying/fire,Scorched,Arauna Pantanal,"Found in Arauna Pantanal, Arará is known as the Scorched POKéMON. It carries a distinct Flying/Fire affinity.",67,70,66,65,65,72,Vista Aguçada | Vento Veloz,#033 (Level 30),Arara-vermelha,reference-front-plus-reconstructed-back,available,032_arara,032_arara/anim_front.png,032_arara/back.png,032_arara/icon.png,032_arara/normal.pal,032_arara/shiny.pal,032_arara/candidate_profile.json
33,Araracanga,flying/fire,Blazing,Arauna Pantanal,"Araracanga lives in Arauna Pantanal. This Flying/Fire POKéMON embodies a part of Brazil's nature, folklore, or culture.",80,105,85,95,90,95,Vista Aguçada | Vento Veloz,,Arara ancestral,reference-front-plus-reconstructed-back,available,033_araracanga,033_araracanga/anim_front.png,033_araracanga/back.png,033_araracanga/icon.png,033_araracanga/normal.pal,033_araracanga/shiny.pal,033_araracanga/candidate_profile.json
34,Jacarim,water,Reptile,Arauna Pantanal,"Jacarim, the Reptile POKéMON, inhabits Arauna Pantanal. Its Water nature reflects Brazil's wildlife and legends.",44,51,44,45,45,55,Torrente | Corpo Molhado,#035 (Level 36),Filhote de jacaré,reference-front-plus-reconstructed-back,available,034_jacarim,034_jacarim/anim_front.png,034_jacarim/back.png,034_jacarim/icon.png,034_jacarim/normal.pal,034_jacarim/shiny.pal,034_jacarim/candidate_profile.json
35,Jacarão,water/dark,Ambush,Arauna Pantanal,"Found in Arauna Pantanal, Jacarão is known as the Ambush POKéMON. It carries a distinct Water/Dark affinity.",68,69,66,65,65,72,Torrente | Corpo Molhado,#036 (Level 40),Jacaré-do-papo-amarelo,reference-front-plus-reconstructed-back,available,035_jacarao,035_jacarao/anim_front.png,035_jacarao/back.png,035_jacarao/icon.png,035_jacarao/normal.pal,035_jacarao/shiny.pal,035_jacarao/candidate_profile.json
36,Jacarodon,water/dragon,Ancestral,Arauna Pantanal,"Jacarodon lives in Arauna Pantanal. This Water/Dragon POKéMON embodies a part of Brazil's nature, folklore, or culture.",81,104,86,95,90,95,Torrente | Corpo Molhado,,Jacaré ancestral,reference-front-plus-reconstructed-back,available,036_jacarodon,036_jacarodon/anim_front.png,036_jacarodon/back.png,036_jacarodon/icon.png,036_jacarodon/normal.pal,036_jacarodon/shiny.pal,036_jacarodon/candidate_profile.json
