arauna_dex,symbol,pt,en
001,Caramelo,"Filhote de rua de pelagem cor de caramelo. Quando confia em seu treinador, a ponta do rabo acende uma chama pequena e constante que nunca queima quem o acaricia.","A stray pup the colour of caramel. Once it trusts its trainer, the tip of its tail lights a small steady flame that never burns a friendly hand."
002,Caramelao,Guardiao das feiras livres. Suas costas ficam salpicadas de brasas que ele controla como se fossem pulgas - só mordem quem tenta roubar.,"Guardian of the open-air markets. Embers speckle its back, and it keeps them like fleas that bite only thieves."
003,Draguara,"Lendas contam que todo cachorro caramelo que salvou uma vida renasce como um Draguará. Suas chamas turquesa aquecem, mas nunca ferem inocentes.",Legend says every stray that saved a life comes back as a Draguará. Its turquoise fire warms but never harms the innocent.
004,Quero,"Nunca dorme por completo. Um olho fica aberto vigiando o ninho - se algo se aproxima, dispara o grito quero-quero! que ecoa por quilômetros.","It never sleeps all the way. One eye stays open over the nest, and its quero-quero cry carries for kilometres."
005,Queribela,"Após a primeira muda, suas penas se transformam em membranas iridescentes de libélula. Paira sobre a água caçando com precisao cirúrgica.",After its first moult the feathers become iridescent dragonfly membranes. It hovers over water and hunts with surgical aim.
006,Terolibra,Quatro asas de libélula sustentam um corpo esguio de quero-quero adulto. Um único bater de asas cria uma rajada dágua capaz de partir troncos.,Four dragonfly wings carry a lean adult body. One wingbeat throws a jet of water strong enough to split a trunk.
007,Pimpau,"Fura cascas de árvore atrás de larvas com um bico ainda mole. Treina o dia inteiro batendo em tocos secos, e volta pro ninho com dor de cabeça.",It drills bark for grubs with a beak still soft. It drills dry stumps all day and goes home with a headache.
008,Bicopau,O bico endurece até virar madeira-de-lei. Percute os troncos em ritmos complexos que outros Bicopau reconhecem como mensagens.,The beak hardens into ironwood. It drums trunks in complex rhythms other Bicopau read as messages.
009,Petropico,Seu bico se calcificou em uma cunha de granito. Escava cavernas em paredoes de pedra com pancadas que ecoam como sinos.,Its beak has calcified into a granite wedge. It carves caves out of rock faces with blows that ring like bells.
010,Formilim,Nao é uma formiga - é uma colônia inteira andando em formato de formiga gigante. Se dispersa quando ameaçada.,Not one ant: a whole colony walking in the shape of a giant one. It scatters when threatened.
011,Sauvarco,A rainha das saúvas. Comanda exércitos que desfolham árvores inteiras em uma única noite.,Queen of the leafcutters. Her armies can strip a whole tree bare in a single night.
012,Capivim,Vive em bandos beira-rio. Aceita qualquer outro Pokémon em suas costas - inclusive treinadores cansados.,"It lives in riverside troops and lets anything ride on its back, tired trainers included."
013,Tucanhao,Seu bico gigante é oco e leve. Consegue engolir uma fruta inteira e cuspir a semente a 40 metros de distância - planta florestas sozinho.,"Its huge beak is hollow and light. It swallows a fruit whole and spits the seed 40 metres, planting forests alone."
014,Saguim,Rouba tudo que brilha. Treinadores aprendem cedo a guardar as medalhas de ginásio no fundo da mochila.,It steals anything that shines. Trainers learn early to keep their badges at the bottom of the bag.
015,Micuiras,Ancian da tribo dos Sagüim. Enxerga o futuro em reflexos de rios e prevê chuvas com uma semana de antecedência.,Elder of the Sagüim troop. It reads the future in river reflections and calls rain a week ahead.
016,Boitata,Aparece após queimadas. Seu corpo é uma cobra feita de fogo azul que devora quem provoca incêndios florestais.,It appears after a burn. Its body is a snake of blue fire that devours whoever sets the forest alight.
017,Curupim,Seus pés apontam para trás. Confunde caçadores fazendo pegadas que levam pra dentro da mata em vez de pra fora.,Its feet point backwards. Hunters follow its tracks deeper into the woods instead of out.
018,Curupira,"O verdadeiro senhor da mata. Onde ele pisa, uma árvore centenária brota em uma noite.","The true lord of the forest. Where it treads, a hundred-year tree rises in one night."
019,Iaraco,Encanta pescadores com um canto. Quem cai no rio atrás dela vira parte de sua corte para sempre.,It charms fishermen with a song. Whoever follows her into the river joins her court forever.
020,Sacizinho,Só tem uma perna. Se movimenta em redemoinhos e adora atrapalhar treinadores desatentos - apagando fogueiras ou soltando Pokémon capturados.,"It has only one leg. It travels in whirlwinds and loves to pester careless trainers, dousing fires and freeing caught Pokémon."
021,Cactula,Sobrevive meses sem chuva. Seus espinhos guardam gotas de veneno adocicado que atrai Pokémon-inseto.,It survives months without rain. Its spines hold drops of sweet venom that draw in Bug Pokémon.
022,Muricoco,Enxames inteiros perseguem treinadores por dias. O único jeito de fugir é entrar num rio - e torcer para nao ter Terolibra por perto.,"Whole swarms follow trainers for days. The only escape is a river, and hoping no Terolibra lives in it."
023,Oncaleu,A onça-pintada da regiao. Caça em silêncio absoluto - treinadores só percebem quando o Pokémon já está no chao.,"The jaguar of the region. It hunts in total silence, and trainers notice only once they are on the ground."
024,Tamandua,Suas garras cortam aço. Come Formilim inteiros de uma lambida - mas evita Saúvarco: já perdeu a língua uma vez.,"Its claws cut steel. It eats whole Formilim in one lick, but avoids Saúvarco: it lost its tongue once."
025,Botim,Nasce cinza e vai ficando rosa conforme ganha confiança. Brinca com bolhas que ele mesmo sopra.,"Born grey, it turns pink as its confidence grows. It plays with bubbles it blows itself."
026,Botao,Sai à noite em bandos. Diz o folclore que se transforma em rapaz nas festas de beira-rio.,It comes out at night in groups. Folklore says it turns into a young man at riverside parties.
027,Botogalau,Chapéu branco esconde o buraco do topo da cabeça. Encanta moças e some no rio ao amanhecer.,A white hat hides the hole in the top of its head. It charms girls and vanishes into the river at dawn.
028,Tatuim,Se enrola numa bola do tamanho de uma laranja. Rola morro abaixo pra fugir.,It curls into a ball the size of an orange and rolls downhill to escape.
029,Tatubola,A carapaça vira aço quando ameaçado. Ricocheteia ataques físicos de volta.,"Its shell turns to steel when threatened, bouncing physical attacks straight back."
030,Tatucu,Escava túneis de 20 metros por noite. Aldeias inteiras já sumiram sob suas galerias.,It digs twenty metres of tunnel a night. Whole villages have sunk into its galleries.
031,Ararinha,Imita qualquer som que ouve - inclusive gritos de treinadores caindo do barranco.,"It mimics any sound it hears, including trainers yelling as they fall down the bank."
032,Arara,Penas vermelhas soltam faíscas quando bate as asas com força.,Its red feathers throw sparks when it beats its wings hard.
033,Araracanga,Voa entre as nuvens do cerrado. Suas penas caídas incendeiam a grama seca.,It flies among the clouds of the cerrado. The feathers it drops set the dry grass alight.
034,Jacarim,Fica boiando com só os olhos de fora. Confunde treinadores com um tronco flutuante.,"It floats with only its eyes above water, and passes for a drifting log."
035,Jacarao,"Espera horas imóvel. Quando ataca, arrasta a presa pro fundo em uma pirueta.","It waits still for hours. When it strikes, it drags its prey under in a single roll."
036,Jacarodon,Descendente direto dos dinossauros. Suas mandíbulas quebram cascos de Tatuçu.,A direct descendant of the dinosaurs. Its jaws crack a Tatuçu's shell.
037,Preguicim,Se move tao devagar que musgo cresce em seu pelo. Serve de casa pra insetos.,It moves so slowly that moss grows in its fur. Insects live there.
038,Preguicao,"Passa 20 horas por dia dormindo. Nos sonhos, prevê chuvas com semanas de antecedência.",It sleeps twenty hours a day. In its dreams it sees rain weeks ahead.
039,BichoPreguica,Do tamanho de um elefante. Anda uma vez por lua e sabe onde toda árvore centenária brota.,The size of an elephant. It walks once a moon and knows where every old tree will rise.
